x y z
0.00987763 0.115122 0
0.00987763 0.118552 0
0.00987763 0.121405 0
0.00987763 0.123502 0
0.00987763 0.124712 0
0.0136682 0.0940381 0
0.0136682 0.0952482 0
0.0136682 0.0973453 0
0.0136682 0.100198 0
0.0136682 0.103628 0
0.0136682 0.107418 0
0.0136682 0.111332 0
0.0136682 0.115122 0
0.0136682 0.118552 0
0.0136682 0.121405 0
0.0136682 0.123502 0
0.0136682 0.124712 0
0.0175818 0.0940381 0
0.0175818 0.0952482 0
0.0175818 0.0973453 0
0.0175818 0.100198 0
0.0175818 0.103628 0
0.0175818 0.107418 0
0.0175818 0.111332 0
0.0175818 0.115122 0
0.0175818 0.118552 0
0.0175818 0.121405 0
0.0175818 0.123502 0
0.0175818 0.124712 0
0.0213724 0.0940381 0
0.0213724 0.0952482 0
0.0213724 0.0973453 0
0.0213724 0.100198 0
0.0213724 0.103628 0
0.0213724 0.107418 0
0.0213724 0.111332 0
0.0213724 0.115122 0
0.0213724 0.118552 0
0.0213724 0.121405 0
0.0213724 0.123502 0
0.0213724 0.124712 0
0.0248018 0.0940381 0
0.0248018 0.0952482 0
0.0248018 0.0973453 0
0.0248018 0.100198 0
0.0248018 0.103628 0
0.0248018 0.107418 0
0.0248018 0.111332 0
0.0248018 0.115122 0
0.0248018 0.118552 0
0.0248018 0.121405 0
0.0248018 0.123502 0
0.0248018 0.124712 0
0.0276547 0.0940381 0
0.0276547 0.0952482 0
0.0276547 0.0973453 0
0.0276547 0.100198 0
0.0276547 0.103628 0
0.0276547 0.107418 0
0.0276547 0.111332 0
0.0276547 0.115122 0
0.0276547 0.118552 0
0.0276547 0.121405 0
0.0276547 0.123502 0
0.0276547 0.124712 0
0.0297518 0.0940381 0
0.0297518 0.0952482 0
0.0297518 0.0973453 0
0.0297518 0.100198 0
0.0297518 0.103628 0
0.0297518 0.107418 0
0.0297518 0.111332 0
0.0297518 0.115122 0
0.0297518 0.118552 0
0.0297518 0.121405 0
0.0297518 0.123502 0
0.0297518 0.124712 0
0.0309619 0.0940381 0
0.0309619 0.0952482 0
0.0309619 0.0973453 0
0.0309619 0.100198 0
0.0309619 0.103628 0
0.0309619 0.107418 0
0.0309619 0.111332 0
0.0309619 0.115122 0
0.0309619 0.118552 0
0.0309619 0.121405 0
0.0309619 0.123502 0
0.0309619 0.124712 0
0.0315381 0.0627881 0
0.0315381 0.0639982 0
0.0315381 0.0660953 0
0.0315381 0.0689482 0
0.0315381 0.0723776 0
0.0315381 0.0761682 0
0.0315381 0.0800818 0
0.0315381 0.0838724 0
0.0315381 0.0873018 0
0.0315381 0.0901547 0
0.0315381 0.0922518 0
0.0315381 0.0934619 0
0.0327482 0.0627881 0
0.0327482 0.0639982 0
0.0327482 0.0660953 0
0.0327482 0.0689482 0
0.0327482 0.0723776 0
0.0327482 0.0761682 0
0.0327482 0.0800818 0
0.0327482 0.0838724 0
0.0327482 0.0873018 0
0.0327482 0.0901547 0
0.0327482 0.0922518 0
0.0327482 0.0934619 0
0.0348453 0.0627881 0
0.0348453 0.0639982 0
0.0348453 0.0660953 0
0.0348453 0.0689482 0
0.0348453 0.0723776 0
0.0348453 0.0761682 0
0.0348453 0.0800818 0
